# Logfile created on 2025-11-10 12:06:47 +0900 by logger.rb/v1.5.3
2025-11-10 12:06:47 +0900: Memory Usage (443396K) : topvia1_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (443396K) : topmetal1_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (443524K) : topmetal1_pin has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (443652K) : topmetal1_mask has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (443652K) : topmetal1_filler has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (443780K) : topmetal1_nofill has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (443908K) : topmetal1_slit has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (443908K) : topmetal1_text has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : topmetal1_noqrc has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : topmetal1_res has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : topmetal1_iprobe has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : topmetal1_diffprb has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : inldpwl_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : polyres_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : polyres_pin has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : vmim_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : nbulaycut_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : antmetal1_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : topvia2_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : topmetal2_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : topmetal2_pin has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : topmetal2_mask has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : topmetal2_filler has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : topmetal2_nofill has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : topmetal2_slit has 0 polygons
